Text_Type,Book,Chapter,Window,GGL,G,GG,LGG,GGG,GLG,GLL,LLG,L,LGL,LLL,LL,LG,GL
SN,CS,siddi,168,43,17,0,0,16,54,26,0,7,36,0,0,0,1
SN,CS,siddi,169,43,17,0,0,17,53,26,0,7,36,0,0,0,1
SN,CS,siddi,170,43,18,0,0,17,53,27,0,7,35,0,0,0,0
SN,CS,siddi,171,44,18,0,0,17,52,27,0,7,35,0,0,0,0
SN,CS,siddi,172,44,18,0,0,17,52,27,0,7,35,0,0,0,0
SN,CS,siddi,173,45,19,0,0,17,52,27,0,6,34,0,0,0,0
SN,CS,siddi,174,46,20,0,0,17,52,27,0,5,33,0,0,0,0
SN,CS,siddi,175,45,19,0,0,17,52,27,0,6,34,0,0,0,0
SN,CS,siddi,176,45,20,0,0,17,52,27,0,5,34,0,0,0,0
SN,CS,siddi,177,46,20,0,0,18,52,26,0,5,33,0,0,0,0
SN,CS,siddi,178,46,19,0,0,18,52,26,0,6,33,0,0,0,0
SN,CS,siddi,179,46,19,0,0,17,52,26,1,6,33,0,0,0,0
SN,CS,siddi,180,45,19,0,0,18,52,26,1,6,33,0,0,0,0
SN,CS,siddi,181,46,20,0,0,18,52,26,1,5,32,0,0,0,0
SN,CS,siddi,182,47,21,0,0,18,52,26,1,4,31,0,0,0,0
SN,CS,siddi,183,47,21,0,0,18,52,26,1,4,31,0,0,0,0
SN,CS,siddi,184,47,20,0,0,19,52,25,1,5,31,0,0,0,0
