Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,kalpa,277,11.92,16.48,3.764877338
SN,CS,kalpa,446,11.93,17.32,3.777022103
SN,CS,kalpa,266,11.94,16.82,3.789166869
SN,CS,kalpa,496,11.95,13.82,3.801311635
SN,CS,kalpa,313,11.97,18.28,3.825601166
SN,CS,kalpa,213,11.98,17.64,3.837745932
SN,CS,kalpa,564,11.98,17.56,3.837745932
SN,CS,kalpa,218,12,18.03,3.862035463
SN,CS,kalpa,240,12,16.31,3.862035463
SN,CS,kalpa,498,12,13.51,3.862035463
SN,CS,kalpa,497,12.02,13.56,3.886324994
SN,CS,kalpa,246,12.03,15.92,3.89846976
SN,CS,kalpa,249,12.03,15.62,3.89846976
SN,CS,kalpa,433,12.03,13.44,3.89846976
SN,CS,kalpa,448,12.03,17.56,3.89846976
SN,CS,kalpa,258,12.04,15.67,3.910614525
SN,CS,kalpa,401,12.04,15.09,3.910614525
SN,CS,kalpa,63,12.06,15.11,3.934904056
SN,CS,kalpa,140,12.06,11.15,3.934904056
SN,CS,kalpa,340,12.06,11.2,3.934904056
SN,CS,kalpa,447,12.06,17.28,3.934904056
SN,CS,kalpa,215,12.07,17.91,3.947048822
SN,CS,kalpa,434,12.07,15.15,3.947048822
SN,CS,kalpa,592,12.07,18.91,3.947048822
SN,CS,kalpa,179,12.09,13.29,3.971338353
SN,CS,kalpa,618,12.09,17.4,3.971338353
SN,CS,kalpa,245,12.11,16.25,3.995627884
SN,CS,kalpa,506,12.11,12.46,3.995627884
SN,CS,kalpa,499,12.12,13.45,4.00777265
SN,CS,kalpa,216,12.14,18.13,4.032062181
SN,CS,kalpa,387,12.14,11.71,4.032062181
SN,CS,kalpa,509,12.14,11.98,4.032062181
SN,CS,kalpa,226,12.15,18.23,4.044206947
SN,CS,kalpa,464,12.15,15.79,4.044206947
SN,CS,kalpa,106,12.16,11.34,4.056351712
SN,CS,kalpa,500,12.17,13.29,4.068496478
SN,CS,kalpa,623,12.17,16.56,4.068496478
SN,CS,kalpa,227,12.18,18.53,4.080641244
SN,CS,kalpa,384,12.18,11.62,4.080641244
SN,CS,kalpa,591,12.18,17.46,4.080641244
SN,CS,kalpa,617,12.18,17.39,4.080641244
SN,CS,kalpa,141,12.19,10.77,4.092786009
SN,CS,kalpa,503,12.19,12.26,4.092786009
SN,CS,kalpa,377,12.2,10.98,4.104930775
SN,CS,kalpa,382,12.22,11.78,4.129220306
SN,CS,kalpa,584,12.22,15.05,4.129220306
SN,CS,kalpa,108,12.23,10.53,4.141365072
SN,CS,kalpa,403,12.24,15.05,4.153509837
SN,CS,kalpa,562,12.26,17.51,4.177799368
SN,CS,kalpa,262,12.27,15.83,4.189944134
SN,CS,kalpa,103,12.28,11.47,4.2020889
SN,CS,kalpa,593,12.31,18.95,4.238523197
SN,CS,kalpa,107,12.32,10.87,4.250667962
SN,CS,kalpa,491,12.32,14.61,4.250667962
SN,CS,kalpa,525,12.32,16.52,4.250667962
SN,CS,kalpa,281,12.33,16.07,4.262812728
SN,CS,kalpa,211,12.34,18.14,4.274957493
SN,CS,kalpa,67,12.35,14.45,4.287102259
SN,CS,kalpa,145,12.35,10.8,4.287102259
SN,CS,kalpa,508,12.35,12.07,4.287102259
SN,CS,kalpa,144,12.36,11.04,4.299247025
SN,CS,kalpa,504,12.36,12.44,4.299247025
SN,CS,kalpa,376,12.37,11.05,4.31139179
SN,CS,kalpa,217,12.38,18.56,4.323536556
SN,CS,kalpa,282,12.38,16.19,4.323536556
SN,CS,kalpa,250,12.4,15.3,4.347826087
SN,CS,kalpa,392,12.42,11.48,4.372115618
SN,CS,kalpa,664,12.44,17.03,4.396405149
SN,CS,kalpa,260,12.45,16.02,4.408549915
SN,CS,kalpa,388,12.45,11.6,4.408549915
SN,CS,kalpa,314,12.46,18.39,4.420694681
SN,CS,kalpa,640,12.46,18.37,4.420694681
SN,CS,kalpa,280,12.5,16.47,4.469273743
SN,CS,kalpa,621,12.5,16.95,4.469273743
SN,CS,kalpa,465,12.51,15.54,4.481418509
SN,CS,kalpa,492,12.52,14.4,4.493563274
SN,CS,kalpa,561,12.56,18.12,4.542142337
SN,CS,kalpa,212,12.57,18.3,4.554287102
SN,CS,kalpa,252,12.59,15.84,4.578576633
SN,CS,kalpa,385,12.6,11.86,4.590721399
SN,CS,kalpa,253,12.61,16.87,4.602866165
SN,CS,kalpa,615,12.62,18.36,4.61501093
SN,CS,kalpa,228,12.63,17.32,4.627155696
SN,CS,kalpa,466,12.64,15.58,4.639300462
SN,CS,kalpa,139,12.65,11.13,4.651445227
SN,CS,kalpa,142,12.68,10.94,4.687879524
SN,CS,kalpa,283,12.68,16.34,4.687879524
SN,CS,kalpa,665,12.69,17.42,4.70002429
SN,CS,kalpa,229,12.7,17.26,4.712169055
SN,CS,kalpa,405,12.71,14.34,4.724313821
SN,CS,kalpa,174,12.72,10.58,4.736458586
SN,CS,kalpa,563,12.72,18,4.736458586
SN,CS,kalpa,507,12.74,12.2,4.760748118
SN,CS,kalpa,583,12.74,15.47,4.760748118
SN,CS,kalpa,261,12.75,15.71,4.772892883
SN,CS,kalpa,381,12.78,11.94,4.80932718
SN,CS,kalpa,638,12.78,18.66,4.80932718
SN,CS,kalpa,383,12.79,11.61,4.821471946
SN,CS,kalpa,143,12.81,10.85,4.845761477
SN,CS,kalpa,449,12.81,16.92,4.845761477
SN,CS,kalpa,489,12.82,14.51,4.857906242
SN,CS,kalpa,565,12.85,17.47,4.894340539
SN,CS,kalpa,467,12.86,15.7,4.906485305
SN,CS,kalpa,231,12.89,17.28,4.942919602
SN,CS,kalpa,259,12.91,15.93,4.967209133
SN,CS,kalpa,566,12.92,17.06,4.979353898
SN,CS,kalpa,353,12.96,11.2,5.027932961
SN,CS,kalpa,468,12.96,15.52,5.027932961
SN,CS,kalpa,614,12.97,18.68,5.040077726
SN,CS,kalpa,411,12.98,12.13,5.052222492
SN,CS,kalpa,505,12.98,12.49,5.052222492
SN,CS,kalpa,235,12.99,16.72,5.064367258
SN,CS,kalpa,502,12.99,13.24,5.064367258
SN,CS,kalpa,160,13.03,11.27,5.11294632
SN,CS,kalpa,239,13.03,16.75,5.11294632
SN,CS,kalpa,622,13.04,16.69,5.125091086
SN,CS,kalpa,137,13.05,10.85,5.137235851
SN,CS,kalpa,570,13.05,15,5.137235851
SN,CS,kalpa,657,13.06,18.19,5.149380617
SN,CS,kalpa,284,13.07,16.31,5.161525383
SN,CS,kalpa,567,13.07,15.58,5.161525383
SN,CS,kalpa,656,13.07,18.12,5.161525383
SN,CS,kalpa,672,13.07,17.53,5.161525383
SN,CS,kalpa,671,13.11,17.86,5.210104445
SN,CS,kalpa,136,13.14,10.7,5.246538742
SN,CS,kalpa,594,13.14,19.61,5.246538742
SN,CS,kalpa,238,13.15,16.96,5.258683507
SN,CS,kalpa,175,13.16,10.68,5.270828273
SN,CS,kalpa,662,13.16,17.17,5.270828273
