Text_Type,Book,Chapter,Window,Mean,StDev,nomalised
SN,CS,siddi,719,27.52,31.93,3.389330976
SN,CS,siddi,1149,27.52,31.49,3.389330976
SN,CS,siddi,483,27.53,33.4,3.399155123
SN,CS,siddi,995,27.53,32.9,3.399155123
SN,CS,siddi,992,27.55,32.8,3.418803419
SN,CS,siddi,1033,27.55,30.65,3.418803419
SN,CS,siddi,550,27.56,33.31,3.428627567
SN,CS,siddi,577,27.56,32.31,3.428627567
SN,CS,siddi,627,27.56,32.8,3.428627567
SN,CS,siddi,722,27.56,30.76,3.428627567
SN,CS,siddi,1107,27.59,25.48,3.45810001
SN,CS,siddi,1249,27.59,25.38,3.45810001
SN,CS,siddi,901,27.6,32.72,3.467924158
SN,CS,siddi,372,27.61,32.6,3.477748305
SN,CS,siddi,489,27.61,33.65,3.477748305
SN,CS,siddi,993,27.61,33.07,3.477748305
SN,CS,siddi,641,27.62,33.77,3.487572453
SN,CS,siddi,652,27.63,33.87,3.497396601
SN,CS,siddi,496,27.64,33.86,3.507220749
SN,CS,siddi,894,27.64,32.77,3.507220749
SN,CS,siddi,1353,27.64,31.13,3.507220749
SN,CS,siddi,313,27.65,28.11,3.517044896
SN,CS,siddi,551,27.66,33.5,3.526869044
SN,CS,siddi,464,27.67,34.02,3.536693192
SN,CS,siddi,571,27.67,33.01,3.536693192
SN,CS,siddi,637,27.67,32.46,3.536693192
SN,CS,siddi,871,27.68,30.59,3.54651734
SN,CS,siddi,582,27.7,33.64,3.566165635
SN,CS,siddi,310,27.71,30.04,3.575989783
SN,CS,siddi,312,27.72,28.67,3.585813931
SN,CS,siddi,1148,27.72,32.4,3.585813931
SN,CS,siddi,1251,27.72,25.16,3.585813931
SN,CS,siddi,308,27.73,30.13,3.595638078
SN,CS,siddi,640,27.73,34.07,3.595638078
SN,CS,siddi,430,27.74,29.25,3.605462226
SN,CS,siddi,465,27.74,33.89,3.605462226
SN,CS,siddi,567,27.75,33.91,3.615286374
SN,CS,siddi,956,27.75,29.39,3.615286374
SN,CS,siddi,645,27.76,33.99,3.625110522
SN,CS,siddi,1384,27.77,26.31,3.634934669
SN,CS,siddi,514,27.78,32.24,3.644758817
SN,CS,siddi,286,27.79,20.44,3.654582965
SN,CS,siddi,897,27.79,33.14,3.654582965
SN,CS,siddi,996,27.81,33.54,3.67423126
SN,CS,siddi,584,27.82,33.66,3.684055408
SN,CS,siddi,721,27.82,30.75,3.684055408
SN,CS,siddi,872,27.82,30.28,3.684055408
SN,CS,siddi,624,27.84,32.49,3.703703704
SN,CS,siddi,1358,27.84,30.64,3.703703704
SN,CS,siddi,466,27.85,34.21,3.713527851
SN,CS,siddi,1250,27.85,24.84,3.713527851
SN,CS,siddi,463,27.86,34,3.723351999
SN,CS,siddi,876,27.86,31.76,3.723351999
SN,CS,siddi,877,27.86,31.76,3.723351999
SN,CS,siddi,1018,27.87,33.34,3.733176147
SN,CS,siddi,1156,27.87,29.03,3.733176147
SN,CS,siddi,347,27.88,33.84,3.743000295
SN,CS,siddi,580,27.88,34.05,3.743000295
SN,CS,siddi,1053,27.88,28.18,3.743000295
SN,CS,siddi,565,27.9,34.21,3.76264859
SN,CS,siddi,878,27.9,32.52,3.76264859
SN,CS,siddi,896,27.9,32.43,3.76264859
SN,CS,siddi,1039,27.9,31.14,3.76264859
SN,CS,siddi,345,27.92,34.27,3.782296886
SN,CS,siddi,892,27.92,32.46,3.782296886
SN,CS,siddi,1150,27.92,32.55,3.782296886
SN,CS,siddi,295,27.93,28.99,3.792121034
SN,CS,siddi,549,27.96,34.13,3.821593477
SN,CS,siddi,622,27.96,32.18,3.821593477
SN,CS,siddi,1034,27.96,30.78,3.821593477
SN,CS,siddi,546,27.97,33.65,3.831417625
SN,CS,siddi,632,27.99,32.68,3.85106592
SN,CS,siddi,870,28.01,30.89,3.870714216
SN,CS,siddi,1054,28.01,28.7,3.870714216
SN,CS,siddi,895,28.02,32.33,3.880538363
SN,CS,siddi,971,28.04,31.59,3.900186659
SN,CS,siddi,360,28.05,32.57,3.910010807
SN,CS,siddi,545,28.06,33.85,3.919834954
SN,CS,siddi,893,28.06,33.14,3.919834954
SN,CS,siddi,304,28.09,31.75,3.949307398
SN,CS,siddi,581,28.09,34.42,3.949307398
SN,CS,siddi,1383,28.09,27.21,3.949307398
SN,CS,siddi,1040,28.1,31.47,3.959131545
SN,CS,siddi,869,28.11,29.18,3.968955693
SN,CS,siddi,309,28.12,30.01,3.978779841
SN,CS,siddi,575,28.13,33.94,3.988603989
SN,CS,siddi,479,28.14,33.7,3.998428136
SN,CS,siddi,1146,28.14,31.95,3.998428136
SN,CS,siddi,568,28.15,33.83,4.008252284
SN,CS,siddi,574,28.15,33.69,4.008252284
SN,CS,siddi,1369,28.15,30.05,4.008252284
SN,CS,siddi,346,28.16,34.34,4.018076432
SN,CS,siddi,566,28.16,34.36,4.018076432
SN,CS,siddi,573,28.17,33.51,4.02790058
SN,CS,siddi,863,28.17,31.06,4.02790058
SN,CS,siddi,864,28.17,31.06,4.02790058
SN,CS,siddi,589,28.18,33.85,4.037724727
SN,CS,siddi,1022,28.18,33.15,4.037724727
SN,CS,siddi,359,28.19,33.05,4.047548875
SN,CS,siddi,478,28.19,34.4,4.047548875
SN,CS,siddi,868,28.19,28.07,4.047548875
SN,CS,siddi,515,28.21,32.68,4.067197171
SN,CS,siddi,600,28.21,33.48,4.067197171
SN,CS,siddi,1252,28.22,23.53,4.077021318
SN,CS,siddi,1359,28.22,30.74,4.077021318
SN,CS,siddi,653,28.23,34.02,4.086845466
SN,CS,siddi,462,28.26,34.85,4.116317909
SN,CS,siddi,1155,28.26,30.65,4.116317909
SN,CS,siddi,468,28.28,34.71,4.135966205
SN,CS,siddi,296,28.3,29.52,4.1556145
SN,CS,siddi,626,28.3,32.98,4.1556145
SN,CS,siddi,1024,28.31,32.81,4.165438648
SN,CS,siddi,1355,28.31,32.22,4.165438648
SN,CS,siddi,1037,28.32,31.06,4.175262796
SN,CS,siddi,875,28.35,31.49,4.204735239
SN,CS,siddi,867,28.36,29.24,4.214559387
SN,CS,siddi,969,28.36,31.96,4.214559387
SN,CS,siddi,343,28.38,34.89,4.234207682
SN,CS,siddi,1336,28.38,32.31,4.234207682
SN,CS,siddi,467,28.39,34.64,4.24403183
SN,CS,siddi,740,28.4,29.96,4.253855978
SN,CS,siddi,741,28.4,29.96,4.253855978
SN,CS,siddi,1108,28.42,27.29,4.273504274
SN,CS,siddi,1151,28.42,32.31,4.273504274
SN,CS,siddi,1361,28.42,29.29,4.273504274
SN,CS,siddi,431,28.44,30.17,4.293152569
SN,CS,siddi,572,28.44,33.51,4.293152569
SN,CS,siddi,147,28.45,18.61,4.302976717
SN,CS,siddi,599,28.47,33.86,4.322625012
SN,CS,siddi,972,28.48,32.92,4.33244916
SN,CS,siddi,973,28.48,33.18,4.33244916
SN,CS,siddi,1038,28.48,30.76,4.33244916
SN,CS,siddi,636,28.49,33.16,4.342273308
SN,CS,siddi,1025,28.49,32.16,4.342273308
SN,CS,siddi,1360,28.5,29.95,4.352097456
SN,CS,siddi,303,28.51,31.25,4.361921603
SN,CS,siddi,644,28.51,34.44,4.361921603
SN,CS,siddi,148,28.54,18.47,4.391394047
SN,CS,siddi,373,28.54,33.37,4.391394047
SN,CS,siddi,469,28.54,34.87,4.391394047
SN,CS,siddi,503,28.54,32.11,4.391394047
SN,CS,siddi,926,28.56,32.37,4.411042342
SN,CS,siddi,1016,28.56,33.84,4.411042342
SN,CS,siddi,1017,28.56,33.72,4.411042342
SN,CS,siddi,982,28.57,33.87,4.42086649
SN,CS,siddi,1109,28.59,28.26,4.440514785
SN,CS,siddi,951,28.6,27.98,4.450338933
SN,CS,siddi,968,28.6,31.3,4.450338933
SN,CS,siddi,107,28.61,19.78,4.460163081
SN,CS,siddi,629,28.62,32.92,4.469987229
SN,CS,siddi,628,28.64,32.95,4.489635524
SN,CS,siddi,1370,28.64,30.89,4.489635524
SN,CS,siddi,434,28.65,30.38,4.499459672
SN,CS,siddi,552,28.66,33.98,4.50928382
SN,CS,siddi,603,28.66,32.88,4.50928382
SN,CS,siddi,307,28.67,30.98,4.519107967
SN,CS,siddi,865,28.67,30.48,4.519107967
SN,CS,siddi,579,28.68,34.7,4.528932115
SN,CS,siddi,1035,28.68,31.51,4.528932115
SN,CS,siddi,1106,28.68,25.7,4.528932115
SN,CS,siddi,598,28.69,34.22,4.538756263
SN,CS,siddi,643,28.69,34.66,4.538756263
SN,CS,siddi,657,28.69,33.99,4.538756263
SN,CS,siddi,689,28.69,31.38,4.538756263
SN,CS,siddi,1020,28.7,33.66,4.548580411
SN,CS,siddi,1021,28.7,33.81,4.548580411
SN,CS,siddi,862,28.71,31.16,4.558404558
SN,CS,siddi,411,28.73,33.1,4.578052854
SN,CS,siddi,874,28.73,31.9,4.578052854
SN,CS,siddi,433,28.75,29.82,4.597701149
SN,CS,siddi,623,28.75,33.22,4.597701149
SN,CS,siddi,1056,28.75,30.22,4.597701149
SN,CS,siddi,477,28.76,35.08,4.607525297
SN,CS,siddi,1154,28.76,31.52,4.607525297
SN,CS,siddi,1364,28.77,29.4,4.617349445
SN,CS,siddi,149,28.78,19.24,4.627173593
SN,CS,siddi,743,28.79,30.83,4.63699774
SN,CS,siddi,1365,28.79,29.74,4.63699774
SN,CS,siddi,1243,28.8,19.75,4.646821888
SN,CS,siddi,1332,28.8,30.69,4.646821888
SN,CS,siddi,1019,28.81,33.22,4.656646036
SN,CS,siddi,406,28.82,31.95,4.666470184
SN,CS,siddi,1055,28.82,29.15,4.666470184
SN,CS,siddi,482,28.84,34.27,4.686118479
SN,CS,siddi,542,28.84,33.88,4.686118479
