Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,nidana,205,22.05,9.7,13.52823679
SN,CS,nidana,217,22.07,20.7,13.5645542
SN,CS,nidana,124,22.17,18.23,13.74614127
SN,CS,nidana,68,22.24,11.93,13.87325222
SN,CS,nidana,326,22.46,11.74,14.27274378
SN,CS,nidana,42,22.62,9.74,14.56328309
SN,CS,nidana,280,22.69,18.46,14.69039404
SN,CS,nidana,120,22.71,17.55,14.72671146
SN,CS,nidana,274,22.72,19.33,14.74487017
SN,CS,nidana,192,22.86,11.2,14.99909206
SN,CS,nidana,8,22.9,20.85,15.07172689
SN,CS,nidana,281,22.96,18.53,15.18067914
SN,CS,nidana,248,23.18,20.2,15.58017069
SN,CS,nidana,95,23.37,11,15.92518613
SN,CS,nidana,119,23.37,18.43,15.92518613
SN,CS,nidana,247,23.51,20.17,16.17940803
SN,CS,nidana,148,23.59,12.64,16.32467768
SN,CS,nidana,189,23.67,12.1,16.46994734
SN,CS,nidana,249,23.69,20.57,16.50626475
SN,CS,nidana,292,23.69,21.66,16.50626475
SN,CS,nidana,287,23.76,19.61,16.6333757
SN,CS,nidana,203,23.84,11.35,16.77864536
SN,CS,nidana,190,23.87,12.15,16.83312148
SN,CS,nidana,191,23.88,12.02,16.85128019
SN,CS,nidana,147,23.92,12.59,16.92391502
SN,CS,nidana,270,23.96,20.91,16.99654985
SN,CS,nidana,286,24.04,19.72,17.1418195
SN,CS,nidana,188,24.1,12.29,17.25077175
SN,CS,nidana,187,24.13,12.42,17.30524787
SN,CS,nidana,273,24.32,20.17,17.6502633
SN,CS,nidana,272,24.41,20.13,17.81369167
SN,CS,nidana,288,24.57,21.12,18.10423098
SN,CS,nidana,96,24.61,12.71,18.17686581
SN,CS,nidana,186,24.77,12.77,18.46740512
SN,CS,nidana,118,24.84,19.63,18.59451607
SN,CS,nidana,285,24.85,20.61,18.61267478
SN,CS,nidana,184,24.87,13.12,18.64899219
SN,CS,nidana,289,25.07,21.92,19.01216633
SN,CS,nidana,9,25.1,22.96,19.06664246
SN,CS,nidana,17,25.15,23.73,19.15743599
SN,CS,nidana,16,25.17,23.41,19.1937534
SN,CS,nidana,283,25.19,20.75,19.23007082
SN,CS,nidana,269,25.25,21.82,19.33902306
SN,CS,nidana,284,25.36,21.01,19.53876884
SN,CS,nidana,290,25.36,23.03,19.53876884
SN,CS,nidana,267,25.48,22.58,19.75667332
SN,CS,nidana,183,25.51,13.79,19.81114945
