Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,nidana,1048,7.48,3.05,17.34939759
SN,AH,nidana,1102,7.48,3.16,17.34939759
SN,AH,nidana,1322,7.48,3.24,17.34939759
SN,AH,nidana,671,7.49,3.04,17.42971888
SN,AH,nidana,851,7.49,3.19,17.42971888
SN,AH,nidana,909,7.49,3.45,17.42971888
SN,AH,nidana,1418,7.49,3.07,17.42971888
SN,AH,nidana,77,7.5,3.18,17.51004016
SN,AH,nidana,168,7.5,2.82,17.51004016
SN,AH,nidana,1446,7.5,3.46,17.51004016
SN,AH,nidana,1326,7.51,3.04,17.59036145
SN,AH,nidana,1234,7.52,2.93,17.67068273
SN,AH,nidana,402,7.53,2.86,17.75100402
SN,AH,nidana,980,7.53,3.68,17.75100402
SN,AH,nidana,1419,7.53,3.13,17.75100402
SN,AH,nidana,1436,7.53,3.25,17.75100402
SN,AH,nidana,162,7.54,2.96,17.8313253
SN,AH,nidana,400,7.54,3,17.8313253
SN,AH,nidana,580,7.54,3.21,17.8313253
SN,AH,nidana,745,7.54,3.31,17.8313253
SN,AH,nidana,987,7.54,3.57,17.8313253
SN,AH,nidana,1420,7.54,3.15,17.8313253
SN,AH,nidana,161,7.55,2.8,17.91164659
SN,AH,nidana,773,7.55,2.87,17.91164659
SN,AH,nidana,1261,7.55,3.35,17.91164659
SN,AH,nidana,290,7.57,3.31,18.07228916
SN,AH,nidana,305,7.57,3.24,18.07228916
SN,AH,nidana,518,7.57,2.74,18.07228916
SN,AH,nidana,684,7.57,3,18.07228916
SN,AH,nidana,719,7.57,2.89,18.07228916
SN,AH,nidana,836,7.57,2.96,18.07228916
SN,AH,nidana,1456,7.57,3.31,18.07228916
SN,AH,nidana,707,7.58,3.38,18.15261044
SN,AH,nidana,848,7.58,3.21,18.15261044
SN,AH,nidana,503,7.59,2.76,18.23293173
SN,AH,nidana,1104,7.59,3.17,18.23293173
SN,AH,nidana,281,7.6,3.29,18.31325301
SN,AH,nidana,283,7.6,3.27,18.31325301
SN,AH,nidana,12,7.61,3.27,18.3935743
